n,t,Term,id,paper_list,affiliation
David Loewenstern,service request; service provider; IT service; IT service management; Catalog-based service request; IT service management automation; IT service management process; IT service managementIT service; IT service request; collaborative service delivery model,"['servic', 'request', 'servic', 'provid', 'it', 'servic', 'it', 'servic', 'manag', 'catalog-bas', 'servic', 'request', 'it', 'servic', 'manag', 'autom', 'it', 'servic', 'manag', 'process', 'it', 'servic', 'managementit', 'servic', 'it', 'servic', 'request', 'collabor', 'servic', 'deliveri', 'model']",539,"1. Significantly Lower Entropy Estimates for Natural DNA Sequences, 2. PICCIL: Interactive Learning to Support Log File Categorization, 3. Rule-Based Problem Classification in IT Service Management, 4. Managing Faults in the Service Delivery Process of Service Provider Coalitions, 5. IT service management automation: an automation centric approach leveraging configuration control","IBM T.J. Watson Research & AC
"
Anders Drachen,digital game; game piracy; computer game; game industry; game title; commercial game development; digital game title; game developer; game genre; game production,"['digit', 'game', 'game', 'piraci', 'comput', 'game', 'game', 'industri', 'game', 'titl', 'commerci', 'game', 'develop', 'digit', 'game', 'titl', 'game', 'develop', 'game', 'genr', 'game', 'product']",548,"1. Player talk—the functions of communication in multplayer role-playing games, 2. Play-Personas: Behaviours and Belief Systems in User-Centred Game Design, 3. Analyzing spatial user behavior in computer games using geographic information systems, 4. Towards gameplay analysis via gameplay metrics, 5. Analyzing user behavior via gameplay metrics","IT University of Copenhagen;Dragon Consulting;Dragon Consulting Griffenfeldsgade, Copenhagen N, Denmark;Aalborg University, Ballerup, Denmark;Copenhagen Business School;Northeastern University
"
Marina Moscarini,summary data; query system; summary attribute; minimal invariant set; sensitive information; invariant set; confidential data; sensitive data; nonnegative-integral summary attribute; summary statistic,"['summari', 'data', 'queri', 'system', 'summari', 'attribut', 'minim', 'invari', 'set', 'sensit', 'inform', 'invari', 'set', 'confidenti', 'data', 'sensit', 'data', 'nonnegative-integr', 'summari', 'attribut', 'summari', 'statist']",574,"1. Chordality properties on graphs and minimal conceptual connections in semantic data models, 2. Distance-hereditary graphs, 3. Steiner trees, 4. and connected domination, 5. On hypergraph acyclicity and graph chordality","IASICNR, Vlale Manzom 30, 00185 Roma, Italy;Departimento di Matematica, Università di Roma  Tor Vergata , Roma, Italy;Univ. di Roma “La Sapienza”, Italy;IASICNR, Italy
"
Stephen P. Harter,Online information retrieval; e-journal impact; impact factor; impact studyImpact; information science journalsVariations; information scienceSemantic relationship; electronic journal; prior electronic publication; retrieval effectivenessColinked descriptors; TechniquesComputer processing,"['onlin', 'inform', 'retriev', 'e-journ', 'impact', 'impact', 'factor', 'impact', 'studyimpact', 'inform', 'scienc', 'journalsvari', 'inform', 'sciencesemant', 'relationship', 'electron', 'journal', 'prior', 'electron', 'public', 'retriev', 'effectivenesscolink', 'descriptor', 'techniquescomput', 'process']",600,"1. Online information retrieval: concepts, 2. principles, 3. and techniques, 4. Statistical approaches to automatic indexing, 5. Subject relationships between cited and citing documents in library and information science","Indiana Univ., Bloomington
"
H G Badr,network computer; circuit switching; communication protocol; network resource; wireless network; 1024-node network; IP network; Linked network; SBN network computer; atm network,"['network', 'comput', 'circuit', 'switch', 'commun', 'protocol', 'network', 'resourc', 'wireless', 'network', '1024-node', 'network', 'ip', 'network', 'link', 'network', 'sbn', 'network', 'comput', 'atm', 'network']",604,1. An adaptive communications protocol for network computers,"State Univ. of New York at Stony Brook, Stony Brook, NY
"
M. A. Shokrollahi,displacement rank; efficient algorithm; decoding algorithm; decoding problem; Reed-Solomon code; algebraic-geometric code; channel capacity; erasure channel; conventional decoding algorithm; efficient decoding,"['displac', 'rank', 'effici', 'algorithm', 'decod', 'algorithm', 'decod', 'problem', 'reed-solomon', 'code', 'algebraic-geometr', 'code', 'channel', 'capac', 'erasur', 'channel', 'convent', 'decod', 'algorithm', 'effici', 'decod']",625,"1. Codes on Hermitian curves, 2. Stickelberger Codes, 3. A remark on matrix rigidity, 4. Relative class number of imaginary abelian fields of prime conductor below 10000, 5. Deciding properties of polynomials without factoring","Institut f&#252/r Informatik, Universit&#228/t Bonn, R&#246/merstrasse 164, 53117 Bonn, Germany/ amin@cs.bonn.edu;International Computer Science Institute, 1947 Center Street, Berkeley, CA;Department of Fundamental Mathematics, Bell Labs;Digital Fountain, Fremont, CA
"
Nirmal Mukhi,web service; case health; Web services framework; business operation; Web services component; issuesThe Web services platform; secure web services communication; standard Web services middleware; business provenance management system; business rule,"['web', 'servic', 'case', 'health', 'web', 'servic', 'framework', 'busi', 'oper', 'web', 'servic', 'compon', 'issuesth', 'web', 'servic', 'platform', 'secur', 'web', 'servic', 'commun', 'standard', 'web', 'servic', 'middlewar', 'busi', 'proven', 'manag', 'system', 'busi', 'rule']",631,"1. Unraveling the Web Services Web: An Introduction to SOAP, 2. WSDL, 3. and UDDI, 4. A Component Based Services Architecture for Building Distributed Applications, 5. The next step in Web services","IBM Research in Hawthorne, NY;IBM T. J. Watson Research Center, Yorktown Heights, NY
"
Julia A. Schnabel,non-rigid registration algorithm; Non-rigid Registration; accurate registration; multi-modal registration; Non-rigid RegistrationNon-rigid registration; breast image registration; deformable multi-modal registration; deformable multi-modal registrationDeformable registration; deformable registration; different medical registration task,"['non-rigid', 'registr', 'algorithm', 'non-rigid', 'registr', 'accur', 'registr', 'multi-mod', 'registr', 'non-rigid', 'registrationnon-rigid', 'registr', 'breast', 'imag', 'registr', 'deform', 'multi-mod', 'registr', 'deform', 'multi-mod', 'registrationdeform', 'registr', 'deform', 'registr', 'differ', 'medic', 'registr', 'task']",637,"1. Active contour models for shape description using multiscale differential invariants, 2. Nonlinear Smoothing of MR Images Using Approximate Entropy - A Local Measure of Signal Intensity Irregularity, 3. Validation of Non-rigid Registration Using Finite Element Methods, 4. Automatic 3D ASM Construction via Atlas-Based Landmarking and Volumetric Elastic Registration, 5. Constructing Patient Specific Models for Correcting Intraoperative Brain Deformation","Department of Engineering Science, University of Oxford, Oxford, UK OX1 3PJ;Computational Imaging Science Group, Division of Radiological Sciences, Guy's Hospital, King's College London, London, UK;Centre for Medical Image Computing, Department of Medical Physics and Bioengineering, University College London, London, UK;Center of Medical Image Computing, Unviersity College of London, UK
"
Roy Kalawsky,virtual environment; distance estimation; transverse distance; display size; Virtual Reality; inter-object distance estimation; lateral distance; virtual image; desktop display; mediated communication,"['virtual', 'environ', 'distanc', 'estim', 'transvers', 'distanc', 'display', 'size', 'virtual', 'realiti', 'inter-object', 'distanc', 'estim', 'later', 'distanc', 'virtual', 'imag', 'desktop', 'display', 'mediat', 'commun']",643,"1. The Science of Virtual Reality and Virtual Environments, 2. Capturing user requirements for an integrated home environment, 3. A Comparative Investigation into Two Pointing Systems for Use with Wearable Computers While Mobile, 4. Automating the display of third person/stealth views of virtual environments","Advanced VR Research Centre, Department of Computer Science, Loughborough University, Loughborough LE11 3TU, UK
"
W. W. Vasconcelos,multi-agent system; software agent; logic programming; ontological reasoning; proposed approach; agents act; agents interact; electronic institution; normative position; logic program,"['multi-ag', 'system', 'softwar', 'agent', 'logic', 'program', 'ontolog', 'reason', 'propos', 'approach', 'agent', 'act', 'agent', 'interact', 'electron', 'institut', 'norm', 'posit', 'logic', 'program']",655,"1. Building large-scale Prolog programs using a techniques editing system, 2. ALIVE: A Framework for Flexible and Adaptive Service Coordination, 3. Conflict resolution in norm-regulated environments via unification and constraints, 4. ALIVE: an agent-based framework for dynamic and robust service-oriented applications","University of Edinburgh, Edinburgh, UK;University of Aberdeen, Aberdeen, UK
"
Alan E Gelfand,sensor network; spatial data; data collection; observed data; process model; model fitting; spatial random effect; available data; common data collection mechanism; continuous data collection,"['sensor', 'network', 'spatial', 'data', 'data', 'collect', 'observ', 'data', 'process', 'model', 'model', 'fit', 'spatial', 'random', 'effect', 'avail', 'data', 'common', 'data', 'collect', 'mechan', 'continu', 'data', 'collect']",656,1. Contributions to the theory and application of statistics: a volume in honor of Herbert Solomon,"Institute of Statistics and Decision Sciences, Duke University, Durham, NC
"
Alfred O. Hero,new method; estimation error; parameter estimation; em algorithm; covariance estimation; local dimension estimation; proposed method; channel estimation error; dimension estimation; joint estimation,"['new', 'method', 'estim', 'error', 'paramet', 'estim', 'em', 'algorithm', 'covari', 'estim', 'local', 'dimens', 'estim', 'propos', 'method', 'channel', 'estim', 'error', 'dimens', 'estim', 'joint', 'estim']",662,"1. On Achievable Accuracy in Edge Localization, 2. Task-specific criteria for adaptive beamforming with slow fading signals, 3. Scale and Translation Invariant Methods for Enhanced Time-FrequencyPattern Recognition, 4. Word Spotting in Bitmapped Fax Documents, 5. Recursive algorithms for digital communications using the discrete wavelet transform","Electrical Engineering and Computer Science Dept., 42329 EECS Bldg., University of Michigan, Ann Arbor MI 48109;IEEE;Dept. of EECS, Michigan Univ., Ann Arbor, MI, USA;Lab. des Signaux et Syst., Ese, Gif sur Yvette, France;Michigan Univ., Lansing, MI, USA;Dept. of Electr. Eng., Washington Univ., St. Louis, MO, USA;Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI, USA;University of Michigan;Dept. of Electr. Eng. & Comput. Sci., Michigan Univ., Ann Arbor, MI;Dept. of Electr. Eng., & Comput. Sci., Michigan Univ., Ann Arbor, MI;Michigan Univ., Ann Arbor, MI
"
Nuno Vasconcelos,image retrieval; discriminant saliency; natural image; semantic space; dynamic texture; retrieval system; semantic image representation; semantic representation; error image; image semantics,"['imag', 'retriev', 'discrimin', 'salienc', 'natur', 'imag', 'semant', 'space', 'dynam', 'textur', 'retriev', 'system', 'semant', 'imag', 'represent', 'semant', 'represent', 'error', 'imag', 'imag', 'semant']",677,"1. Multiresolution tangent distance for affine-invariant classification, 2. Learning mixture hierarchies, 3. Empirical Bayesian Motion Segmentation, 4. What Is the Role of Independence for Visual Recognition?, 5. Learning Over Multiple Temporal Scales in Image Databases","Compaq Computer Corp., Cambridge, MA;Department of Electrical and Computer Engineering, University of California, San Diego;IEEE;Media Lab., MIT, Cambridge, MA;Department of Electrical and Computer Engineering, UC, San Diego
"
